Date.,EURUSD=X.Open,EURUSD=X.High,EURUSD=X.Low,EURUSD=X.Close,EURUSD=X.Volume,EURUSD=X.Dividends,EURUSD=X.Stock Splits,GBPUSD=X.Open,GBPUSD=X.High,GBPUSD=X.Low,GBPUSD=X.Close,GBPUSD=X.Volume,GBPUSD=X.Dividends,GBPUSD=X.Stock Splits
2020-10-05,1.172195553779602,1.1796625852584839,1.1719304323196411,1.1720443964004517,0,0.0,0.0,1.292808175086975,1.298751950263977,1.2901561260223389,1.2931090593338013,0,0.0,0.0
2020-10-06,1.178828239440918,1.1807351112365723,1.1767336130142212,1.1792453527450562,0,0.0,0.0,1.2992074489593506,1.3008975982666016,1.2923402786254883,1.2992581129074097,0,0.0,0.0
2020-10-07,1.173736572265625,1.178139328956604,1.172540545463562,1.1737639904022217,0,0.0,0.0,1.2884771823883057,1.2929251194000244,1.2850332260131836,1.2883278131484985,0,0.0,0.0
2020-10-08,1.1765536069869995,1.1781338453292847,1.173529863357544,1.176747441291809,0,0.0,0.0,1.2916558980941772,1.2969328165054321,1.2896569967269897,1.2917560338974,0,0.0,0.0
2020-10-09,1.1767059564590454,1.1824523210525513,1.1758756637573242,1.1767003536224365,0,0.0,0.0,1.293928861618042,1.3015071153640747,1.2926744222640991,1.29404616355896,0,0.0,0.0
2020-10-12,1.1813349723815918,1.182732105255127,1.1788004636764526,1.181683897972107,0,0.0,0.0,1.3029316663742065,1.3079760074615479,1.3005592823028564,1.3031693696975708,0,0.0,0.0
2020-10-13,1.1814186573028564,1.1814186573028564,1.1735711097717285,1.1816140413284302,0,0.0,0.0,1.3065917491912842,1.3067454099655151,1.2961931228637695,1.3065747022628784,0,0.0,0.0
2020-10-14,1.1743981838226318,1.177024483680725,1.1721680164337158,1.1742188930511475,0,0.0,0.0,1.293326497077942,1.306267499923706,1.2866700887680054,1.2935272455215454,0,0.0,0.0
2020-10-15,1.1747568845748901,1.1760554313659668,1.1690163612365723,1.1743981838226318,0,0.0,0.0,1.3014394044876099,1.3029316663742065,1.2892578840255737,1.3012362718582153,0,0.0,0.0
2020-10-16,1.1705764532089233,1.1746740341186523,1.169494867324829,1.1707134246826172,0,0.0,0.0,1.2903059720993042,1.2961763143539429,1.2873326539993286,1.2902060747146606,0,0.0,0.0
2020-10-19,1.1715638637542725,1.1795234680175781,1.1704941987991333,1.1715501546859741,0,0.0,0.0,1.2927746772766113,1.3022867441177368,1.2924906015396118,1.2927746772766113,0,0.0,0.0
2020-10-20,1.1768028736114502,1.1839923858642578,1.1762629747390747,1.176885962486267,0,0.0,0.0,1.2946995496749878,1.2977911233901978,1.2912722826004028,1.2948671579360962,0,0.0,0.0
2020-10-21,1.1829279661178589,1.1882128715515137,1.1829279661178589,1.1829839944839478,0,0.0,0.0,1.295706033706665,1.3171412944793701,1.2955213785171509,1.2954038381576538,0,0.0,0.0
2020-10-22,1.1851290464401245,1.1869436502456665,1.1813349723815918,1.1853959560394287,0,0.0,0.0,1.313111424446106,1.3149935007095337,1.307172417640686,1.3131976127624512,0,0.0,0.0
2020-10-23,1.181404709815979,1.1859582662582397,1.1788004636764526,1.1815024614334106,0,0.0,0.0,1.3078391551971436,1.3114409446716309,1.3022699356079102,1.307805061340332,0,0.0,0.0
2020-10-26,1.1848341226577759,1.1851009130477905,1.1804006099700928,1.1848480701446533,0,0.0,0.0,1.3053637742996216,1.307257890701294,1.299545168876648,1.3054660558700562,0,0.0,0.0
2020-10-27,1.1809443235397339,1.183800458908081,1.179940938949585,1.1809443235397339,0,0.0,0.0,1.3017274141311646,1.3077878952026367,1.3002548217773438,1.301574945449829,0,0.0,0.0
2020-10-28,1.17816162109375,1.178828239440918,1.1719304323196411,1.1784114837646484,0,0.0,0.0,1.3031693696975708,1.3063528537750244,1.2918394804000854,1.303186297416687,0,0.0,0.0
2020-10-29,1.1747430562973022,1.1759172677993774,1.165623426437378,1.1748672723770142,0,0.0,0.0,1.29878568649292,1.3025243282318115,1.2883609533309937,1.2989881038665771,0,0.0,0.0
2020-10-30,1.1676785945892334,1.1703435182571411,1.1643069982528687,1.1678695678710938,0,0.0,0.0,1.2932093143463135,1.298751950263977,1.2900062799453735,1.2931926250457764,0,0.0,0.0
2020-11-02,1.164252758026123,1.1656994819641113,1.162439227104187,1.1642121076583862,0,0.0,0.0,1.2927078008651733,1.294247031211853,1.2856775522232056,1.2926744222640991,0,0.0,0.0
2020-11-03,1.1642799377441406,1.1741995811462402,1.163805603981018,1.1642799377441406,0,0.0,0.0,1.2924004793167114,1.3077024221420288,1.291605830192566,1.2923903465270996,0,0.0,0.0
2020-11-04,1.1764568090438843,1.176885962486267,1.1607661247253418,1.176221489906311,0,0.0,0.0,1.313266634941101,1.3137669563293457,1.2917894124984741,1.3121638298034668,0,0.0,0.0
2020-11-05,1.1729930639266968,1.1856770515441895,1.1712756156921387,1.17326819896698,0,0.0,0.0,1.2961090803146362,1.3132493495941162,1.2942638397216797,1.2966804504394531,0,0.0,0.0
2020-11-06,1.1814186573028564,1.1890605688095093,1.1796208620071411,1.1817537546157837,0,0.0,0.0,1.3138360977172852,1.3175925016403198,1.3095518350601196,1.3139395713806152,0,0.0,0.0
2020-11-09,1.1893151998519897,1.1919234991073608,1.179746150970459,1.1893010139465332,0,0.0,0.0,1.3179224729537964,1.3205852508544922,1.3121638298034668,1.318061351776123,0,0.0,0.0
2020-11-10,1.1823265552520752,1.184356927871704,1.178078293800354,1.182732105255127,0,0.0,0.0,1.316759705543518,1.3276333808898926,1.3158761262893677,1.3169677257537842,0,0.0,0.0
2020-11-11,1.1819632053375244,1.1832919120788574,1.1747292280197144,1.1818794012069702,0,0.0,0.0,1.3261544704437256,1.329451322555542,1.3194352388381958,1.3261544704437256,0,0.0,0.0
2020-11-12,1.1778701543807983,1.182300090789795,1.1759587526321411,1.1780297756195068,0,0.0,0.0,1.3224014043807983,1.322873830795288,1.3125598430633545,1.3224189281463623,0,0.0,0.0
2020-11-13,1.1805260181427002,1.1833899021148682,1.1799688339233398,1.1803393363952637,0,0.0,0.0,1.3123877048492432,1.318687081336975,1.311131477355957,1.3121638298034668,0,0.0,0.0
2020-11-16,1.1844271421432495,1.186873197555542,1.1814744472503662,1.1845253705978394,0,0.0,0.0,1.3219819068908691,1.3241876363754272,1.316863775253296,1.3220518827438354,0,0.0,0.0
2020-11-17,1.1859723329544067,1.1892727613449097,1.1845533847808838,1.1859441995620728,0,0.0,0.0,1.3223140239715576,1.3271400928497314,1.319383144378662,1.322209119796753,0,0.0,0.0
